"childid","l5cathol","l5public","r5race","w3povrty","w3daded","w3momed","w3inccat","p5fstamp","w3momscr","w3dadscr","p5numpla","p5hmage","p5hdage","c5r2mtsc","w3income","c5r2mtsc_std"
"0001002C",-1,1,1,2,9,5,10,2,53.5,77.5,1,47,45,60.043,NA,0.952268664038593
"0001004C",-1,1,1,2,6,7,9,2,34.95,53.5,1,41,48,56.28,NA,0.568893109620276
"0001005C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.791,NA,0.315313052499045
"0001006C",2,2,1,2,8,8,10,2,61.56,NA,1,41,36,55.475,NA,0.486879471218271
"0001007C",NA,NA,1,2,5,6,10,2,63.43,35.78,1,45,48,40.392,NA,-1.0497810356357
"0001009C",-9,-9,1,2,3,5,9,2,34.95,38.18,1,34,30,37.534,NA,-1.34095492203685
"0001010C",-1,1,1,2,8,7,10,2,63.43,53.5,1,43,55,55.272,NA,0.466197771099504
"0001011C",1,2,1,2,6,7,11,2,53.5,53.5,1,38,39,64.604,NA,1.41694469478586
"0001012C",-1,1,1,2,9,8,12,2,61.56,77.5,1,47,57,75.721,NA,2.54954794710274
"0001013C",NA,NA,1,2,5,5,12,2,53.5,39.2,1,33,32,56.532,NA,0.594566944250469
"0002003C",-1,1,1,1,5,5,2,2,NA,35.78,1,30,31,56.868,NA,0.628798723757393
"0002004C",-1,1,1,2,6,6,10,2,38.18,53.5,1,41,41,54.248,NA,0.361872347840308
"0002005C",-1,1,3,1,2,1,2,1,NA,NA,1,38,46,45.572,NA,-0.522041101570619
"0002006C",-1,1,1,1,3,3,4,1,NA,29.6,1,28,30,50.804,NA,0.0109966078943384
"0002008C",-1,1,1,2,4,4,7,2,34.95,29.6,1,31,32,40.064,NA,-1.08319777277341
"0002010C",-1,1,1,2,5,5,8,2,63.43,33.42,1,38,41,46.097,NA,-0.468553946091051
"0002011C",-1,1,1,2,3,3,9,1,35.78,29.6,1,26,28,53.336,NA,0.268957517750086
"0002012C",-1,1,8,2,-1,6,5,2,59,NA,2,36,NA,48.202,NA,-0.254095922692019
"0002018C",-1,1,1,2,4,5,10,2,34.95,34.95,1,38,40,57.767,NA,0.720389109997645
"0002019C",-1,1,1,1,-1,6,1,1,NA,NA,1,36,NA,60.294,NA,0.977840618372635
"0002022C",-1,1,1,2,3,3,10,2,38.18,38.18,1,27,30,57.237,NA,0.666392553037319
"0002024C",-1,1,1,2,3,3,10,2,38.18,53.5,1,40,43,45.384,NA,-0.541194597247113
"0005004C",-1,1,3,1,3,3,3,1,NA,29.6,1,27,31,47.284,NA,-0.34762203455915
"0005006C",-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.494,NA,-0.428107468518882
"0005009C",-1,1,1,1,2,5,4,1,34.95,35.92,1,33,30,50.257,NA,-0.0447319141005649
"0005011C",-1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.933,NA,-0.790903203114584
"0005013C",-1,1,8,1,2,3,4,1,33.42,33.42,1,36,48,44.564,NA,-0.624736440091391
"0005016C",-1,1,1,1,3,5,3,1,NA,29.6,2,46,50,40.922,NA,-0.99578447867537
"0005020C",-1,1,7,1,-1,2,5,1,38.18,NA,1,34,NA,29.047,NA,-2.20561299547514
"0005021C",-1,1,2,1,-1,2,3,1,NA,NA,1,35,NA,20.41,NA,-3.08555311333615
"0005025C",-1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.928,NA,-0.383891419989105
"0006001C",-1,1,5,1,3,3,5,2,35.78,34.95,1,42,54,56.236,NA,0.564410376589607
"0006002C",-1,1,5,1,1,5,3,2,29.6,34.95,1,42,45,41.063,NA,-0.981419356918
"0006003C",-1,1,1,2,6,6,11,2,53.5,53.5,1,39,39,54.404,NA,0.377765674039952
"0006005C",-1,1,1,2,6,5,10,2,34.95,53.5,1,37,38,70.107,NA,1.97759196450789
"0006007C",-1,1,1,2,3,5,9,2,53.5,39.2,1,37,36,57.567,NA,0.700013050767333
"0006010C",-1,1,1,2,3,-1,4,2,NA,35.92,2,NA,33,48.924,NA,-0.180538348870593
"0006011C",-1,1,1,2,3,3,6,2,29.6,35.78,1,28,32,47.199,NA,-0.356281859732033
"0006012C",-1,1,1,2,-1,6,7,1,38.18,NA,2,30,NA,48.964,NA,-0.176463137024531
"0006014C",-1,1,1,1,3,-1,2,1,NA,NA,1,NA,41,32.045,NA,-1.90017586761276
"0006015C",-1,1,1,1,-1,3,2,2,NA,NA,4,30,NA,55.45,NA,0.484332463814482
"0006017C",-1,1,1,2,3,3,8,2,38.18,53.5,1,34,39,65.741,NA,1.53278259151018
"0006022C",-1,1,1,1,-1,3,3,1,35.78,NA,1,26,NA,53.687,NA,0.304717501699283
"0007002C",1,2,1,2,-1,6,10,2,53.5,NA,2,39,NA,52.035,NA,0.136411252456907
"0007004C",1,2,1,2,7,5,12,2,57.83,35.78,2,41,45,64.935,NA,1.45066707281202
"0007006C",1,2,1,2,8,6,11,2,53.5,63.43,1,35,37,45.63,NA,-0.516132044393829
"0007008C",1,2,1,2,6,6,12,2,NA,53.5,1,41,40,48.521,NA,-0.221596108219671
