"webinar"	"text"	"minutes"
"1"	"1"	"text"	29.5
"2"	"1"	"text"	29.7
"3"	"1"	"text"	29.9
"4"	"1"	"text"	30.1
"5"	"1"	"text"	30.3
"6"	"1"	"text"	30.5
"7"	"2"	"text"	29.5
"8"	"2"	"text"	29.7
"9"	"2"	"text"	29.9
"10"	"2"	"text"	30.1
"11"	"2"	"text"	30.3
"12"	"2"	"text"	30.5
"13"	"3"	"text"	29.5
"14"	"3"	"text"	29.7
"15"	"3"	"text"	29.9
"16"	"3"	"text"	30.1
"17"	"3"	"text"	30.3
"18"	"3"	"text"	30.5
"19"	"4"	"text"	29.5
"20"	"4"	"text"	29.7
"21"	"4"	"text"	29.9
"22"	"4"	"text"	30.1
"23"	"4"	"text"	30.3
"24"	"4"	"text"	30.5
"25"	"5"	"control"	29.5
"26"	"5"	"control"	29.7
"27"	"5"	"control"	29.9
"28"	"5"	"control"	30.1
"29"	"5"	"control"	30.3
"30"	"5"	"control"	30.5
"31"	"6"	"text"	24.5
"32"	"6"	"text"	24.7
"33"	"6"	"text"	24.9
"34"	"6"	"text"	25.1
"35"	"6"	"text"	25.3
"36"	"6"	"text"	25.5
"37"	"7"	"control"	24.5
"38"	"7"	"control"	24.7
"39"	"7"	"control"	24.9
"40"	"7"	"control"	25.1
"41"	"7"	"control"	25.3
"42"	"7"	"control"	25.5
"43"	"8"	"control"	24.5
"44"	"8"	"control"	24.7
"45"	"8"	"control"	24.9
"46"	"8"	"control"	25.1
"47"	"8"	"control"	25.3
"48"	"8"	"control"	25.5
"49"	"9"	"control"	24.5
"50"	"9"	"control"	24.7
"51"	"9"	"control"	24.9
"52"	"9"	"control"	25.1
"53"	"9"	"control"	25.3
"54"	"9"	"control"	25.5
"55"	"10"	"control"	24.5
"56"	"10"	"control"	24.7
"57"	"10"	"control"	24.9
"58"	"10"	"control"	25.1
"59"	"10"	"control"	25.3
"60"	"10"	"control"	25.5
