"text"	"minutes"
"29"	"text"	29.0707248533903
"35"	"control"	26.3932037659136
"16"	"text"	26.4423764496651
"48"	"control"	29.4409858488059
"55"	"control"	26.3927790257362
"57"	"control"	28.1453369619274
"37"	"control"	28.9703171657508
"58"	"control"	30.7190815883248
"30"	"text"	33.9924798578373
"20"	"text"	27.7611135879702
"38"	"control"	27.3185723298521
"7"	"text"	26.3533172712549
"39"	"control"	26.4468077486108
"60"	"control"	23.8698658381409
"13"	"text"	27.9221770978972
"5"	"text"	30.5524086913536
"24"	"text"	34.496088644666
"54"	"control"	23.3169444912252
"52"	"control"	28.5626028715945
"26"	"text"	23.5160454452678
"43"	"control"	25.2919337487963
"45"	"control"	33.6272337945846
"56"	"control"	30.177360248129
"31"	"control"	24.5477141128569
"49"	"control"	25.8739042483445
"4"	"text"	28.8593591057456
"36"	"control"	28.2194782276986
"42"	"control"	28.4853030186217
"1"	"text"	34.4632712686626
"27"	"text"	31.185659552317
"15"	"text"	29.4067407793306
"28"	"text"	28.8154981325583
"18"	"text"	30.0225296541296
"17"	"text"	23.9834610332428
"21"	"text"	32.17936372845
"46"	"control"	27.9515477201512
"22"	"text"	32.1409700010354
"23"	"text"	28.049811241416
"10"	"text"	26.3969294809485
"25"	"text"	25.6925157538906
"44"	"control"	30.3578834593056
"32"	"control"	29.0276804721589
"33"	"control"	26.3535568442938
"34"	"control"	26.656050868056
"47"	"control"	24.1941085813009
"50"	"control"	27.9992993416043
"59"	"control"	27.9503316631916
"14"	"text"	31.8079465618219
"11"	"text"	33.1573754849085
"53"	"control"	24.1438691988183
"41"	"control"	27.607160787937
"8"	"text"	34.6842152952908
"2"	"text"	29.9943242980173
"51"	"control"	28.783244618798
"19"	"text"	31.5584710691286
"9"	"text"	31.2819305918746
"12"	"text"	26.084809301894
"3"	"text"	34.1430623702678
"40"	"control"	29.8381024748338
"6"	"text"	29.2593123508406
